district_code,school_type,name,attendance_rate,attend_college,artcourse,avgclass_size,African.American,Asian,Hispanic,White,Native.American,pacific_islander,multi_race,Males,Females,nonbinary,grade9_passrate,expenditure,notnativespeaker,englishlearner,highneed,disability,econdisadv,teacher_retained,teacher_license,masscore_complete,sat_verbal,sat_math
520000,0,Carver,95.3,78.3,71.37150466,17.9,2,0.3,1.7,94.5,0.3,0.1,1.1,51.3,48.7,0,85.5,14581.61,1.5,1.4,38.5,19.3,25.5,92.2,99.2,100,552,557
560000,0,Chelmsford,96.2,82.3,87.8987446,18.1,4,16.5,7.5,68.2,0.2,0.1,3.5,51.8,48.2,0,97.2,13723.79,20.8,4.2,31.2,16.6,14.7,89.6,99.5,100,583,599
570000,0,Chelsea,92.8,73.4,86.67115449,21.9,4.5,0.1,87.7,6.2,0.2,0,1.3,52.1,47.9,0,55.7,13260.04,83.4,35.7,85.8,16.7,70.6,81.4,96.7,100,476,466
610000,0,Chicopee,94.2,60.2,72.67691455,17.5,4.5,2,40.8,49.2,0,0,3.4,53.9,46.1,0,59.7,14975.37,13.3,5.7,66.5,18.9,58.9,91.7,98.1,33.2,539,541
640000,0,Clinton,94.6,63.2,81.20133482,17.8,3.2,1,31.1,62.1,0,0.1,2.5,53.9,46.1,0.1,82.1,13313.04,27.7,13.4,59,22.8,43.7,86,98.3,84,513,489
650000,0,Cohasset,95.7,84.9,98.68680236,18.8,2.9,1.9,1.2,92,0.2,0,1.9,50.1,49.9,0.1,99.1,16000.42,0.6,0.1,17.9,13.1,5.7,84.4,99.1,100,594,584
710000,0,Danvers,95.3,81.2,88.21966342,18.7,2.4,2.4,8.8,83.8,0.1,0,2.5,51.2,48.8,0,90,15680.82,4.7,1.3,34.9,18.5,20.7,89.6,100,100,556,550
720000,0,Dartmouth,95.8,81.9,87.9786036,18.7,1.5,0.6,5.3,86,0,0,6.6,51.4,48.6,0,82.2,13077.07,2.6,1.6,38,17.1,25.6,92.4,99.3,99.6,558,554
730000,0,Dedham,94.9,75,86.55624037,17.6,7.2,2.3,16.1,69.1,0,0,5.3,52,47.9,0.1,83,19290.5,13.4,5.5,42.1,21.9,24.8,88.8,100,52.2,536,549
770000,0,Douglas,95.2,81.2,73.77706496,18.1,0.7,0.8,5,90.2,0,0.2,3.2,52,48,0,89.7,13254.81,1,0.7,32.2,18.8,18.8,92.9,100,32.7,555,517
